City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,55.51,few clouds,-53.15,-70.9167,Hotel Hain
1,Blackwater,AU,76.57,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
2,Khatanga,RU,-22.94,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
3,Lapithos,CY,58.23,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
4,Mar Del Plata,AR,63.88,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Albany,US,37.81,overcast clouds,42.6001,-73.9662,
6,Georgetown,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
7,Leningradskiy,RU,-3.14,snow,69.3833,178.4167,Gostinitsa
8,Meadow Lake,US,65.17,clear sky,34.8014,-106.5436,TumbleWeed RV Park
9,Cape Town,ZA,62.1,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
10,Mehamn,NO,30.38,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
11,Atuona,PF,78.49,clear sky,-9.8,-139.0333,Villa Enata
12,Ashland,US,49.26,overcast clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
13,Ponoka,CA,9.88,scattered clouds,52.6768,-113.5815,Ponoka Stampeder Inn
14,Hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Haines Junction,CA,-0.04,overcast clouds,60.7522,-137.5108,Parkside Inn
16,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Kapaa,US,79.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Sistranda,NO,21.9,broken clouds,63.7256,8.834,Hotell Frøya
19,Tasiilaq,GL,29.98,snow,65.6145,-37.6368,The Red House
20,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
21,Honolulu,US,73.22,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
22,Barrow,US,8.62,light snow,71.2906,-156.7887,King Eider Inn
23,Port Elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
24,Tukrah,LY,63.28,broken clouds,32.5341,20.5791,Lagrota restaurant
25,Dunedin,NZ,54.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
26,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
27,Lorengau,PG,85.08,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Srednekolymsk,RU,-48.71,broken clouds,67.45,153.6833,
29,Lozuvatka,UA,32.49,mist,48.0571,33.2858,Richka
30,Sorland,NO,24.87,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
31,Antanifotsy,MG,59.95,broken clouds,-19.65,47.3167,
32,Kailua,US,73.38,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
33,Thompson,CA,-14.08,scattered clouds,55.7435,-97.8558,Burntwood Hotel
34,Busselton,AU,60.04,broken clouds,-33.65,115.3333,Observatory Guest House
35,North Bend,US,55.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
36,Pokrovsk,UA,33.35,overcast clouds,48.282,37.1758,Druzhba
37,Homer,US,37.29,light rain and snow,59.6425,-151.5483,Beluga Lake Lodge
38,Mecca,SA,74.57,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
39,Upernavik,GL,25.7,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
40,Viru,PE,63.7,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
41,Mataura,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
42,Severo-Kurilsk,RU,31.48,overcast clouds,50.6789,156.125,Kak Doma
43,Olafsvik,IS,41.18,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
44,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Katsuura,JP,47.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
46,New Norfolk,AU,62.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Waipawa,NZ,51.46,light rain,-41.4122,175.5153,Tora Coastal Walk
48,Vostok,RU,17.89,scattered clouds,46.4856,135.8833,
49,Zhigansk,RU,-28.44,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
50,Calabar,NG,77.49,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
51,Matamoros,MX,80.71,broken clouds,25.5333,-103.25,Quinta Belem
52,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
53,Lambarene,GA,76.3,moderate rain,-0.7001,10.2406,Le Refuge
54,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatros Hotel
55,Koslan,RU,10.54,broken clouds,63.4564,48.8989,
56,Honiara,SB,83.71,overcast clouds,-9.4333,159.95,Heritage Park Hotel
57,Deputatskiy,RU,-24.45,overcast clouds,69.3,139.9,Baza Otdykha
58,Nur,PL,31.78,overcast clouds,52.6683,22.3221,W Łęgu Natury Noclegi Pensjonat
59,Lebu,CL,62.98,clear sky,-37.6167,-73.65,Hostal Las Lilas
60,Salekhard,RU,-19.1,scattered clouds,66.53,66.6019,Hotel 89
61,Rotifunk,SL,76.69,scattered clouds,8.2333,-12.6833,
62,Bilibino,RU,-19.28,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
63,Langsa,ID,72.5,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
64,Eirunepe,BR,72.5,overcast clouds,-6.6603,-69.8736,Atrás de você
65,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Saskylakh,RU,-27.94,overcast clouds,71.9167,114.0833,
67,Mount Gambier,AU,61.66,overcast clouds,-37.8333,140.7667,The Commodore
68,Jamestown,US,43.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
69,Pisco,PE,69.85,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
70,Nikolskoye,RU,-0.6,clear sky,59.7035,30.7861,Tourist House - Sablino
71,Bredasdorp,ZA,60.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
72,Hilo,US,76.73,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
73,College,US,5.29,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
74,Dhidhdhoo,MV,80.92,scattered clouds,6.8833,73.1,Dhidhoo beach
75,Cidreira,BR,69.89,scattered clouds,-30.1811,-50.2056,Hotel Castelo
76,Carnarvon,AU,72.84,clear sky,-24.8667,113.6333,Hospitality Carnarvon
77,Bethel,US,43.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
78,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
79,Cherskiy,RU,-47.02,overcast clouds,68.75,161.3,Gostinitsa
80,Negara,ID,76.12,moderate rain,-8.3151,114.6025,Villa Maya West Bali
81,Meulaboh,ID,75.79,overcast clouds,4.1363,96.1285,Kost Pria
82,Paita,PE,72.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
83,Honningsvag,NO,29.95,light snow,70.9821,25.9704,Nordkapp Vandrerhjem
84,Baykit,RU,-6.9,overcast clouds,61.67,96.37,
85,Lagos,NG,82.72,broken clouds,6.5833,3.75,
86,Tecoanapa,MX,84.56,clear sky,16.5167,-98.75,Hotel Manglares
87,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
88,Kaili,ID,66.06,overcast clouds,-3.4626,120.2147,
89,San Quintin,MX,64.69,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
90,Chokurdakh,RU,-41.57,broken clouds,70.6333,147.9167,
91,Tortoli,IT,44.98,overcast clouds,39.9256,9.6572,Hotel La Bitta
92,Hobart,AU,63.01,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
93,East London,ZA,69.24,overcast clouds,-33.0153,27.9116,Tu Casa
94,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
95,Zaysan,KZ,18.99,overcast clouds,47.4667,84.8667,Ерлан үй
96,Ilulissat,GL,28.42,light snow,69.2167,-51.1,Hotel Arctic
