,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,41,20,20.71,few clouds
1,Blackwater,AU,-23.5833,148.8833,76.57,72,67,12.48,broken clouds
2,Khatanga,RU,71.9667,102.5,-22.94,100,99,6.76,overcast clouds
3,Lapithos,CY,35.3375,33.1792,58.23,67,0,5.14,clear sky
4,Mar Del Plata,AR,-38.0023,-57.5575,63.88,77,11,15.01,few clouds
5,Albany,US,42.6001,-73.9662,37.81,62,97,4.52,overcast clouds
6,Georgetown,MY,5.4112,100.3354,77.9,77,20,10.36,light rain
7,Leningradskiy,RU,69.3833,178.4167,-3.14,98,100,14.81,snow
8,Meadow Lake,US,34.8014,-106.5436,65.17,25,0,10.56,clear sky
9,Cape Town,ZA,-33.9258,18.4232,62.1,89,92,1.99,overcast clouds
10,Mehamn,NO,71.0357,27.8492,30.38,74,40,25.32,scattered clouds
11,Atuona,PF,-9.8,-139.0333,78.49,75,5,18.3,clear sky
12,Ashland,US,40.8167,-82.2665,49.26,67,100,16.11,overcast clouds
13,Ponoka,CA,52.6768,-113.5815,9.88,80,29,8.34,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,60.91,95,100,11.05,light rain
15,Haines Junction,CA,60.7522,-137.5108,-0.04,99,100,1.83,overcast clouds
16,Vaini,TO,-21.2,-175.2,80.76,89,75,13.8,broken clouds
17,Kapaa,US,22.0752,-159.319,79.48,71,40,3.0,scattered clouds
18,Sistranda,NO,63.7256,8.834,21.9,69,77,14.99,broken clouds
19,Tasiilaq,GL,65.6145,-37.6368,29.98,92,99,26.8,snow
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,16.11,few clouds
21,Honolulu,US,21.3069,-157.8583,73.22,77,75,10.36,light rain
22,Barrow,US,71.2906,-156.7887,8.62,78,90,19.57,light snow
23,Port Elizabeth,ZA,-33.918,25.5701,66.09,90,100,13.73,overcast clouds
24,Tukrah,LY,32.5341,20.5791,63.28,71,63,18.7,broken clouds
25,Dunedin,NZ,-45.8742,170.5036,54.81,66,98,3.0,overcast clouds
26,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,12.66,few clouds
27,Lorengau,PG,-2.0226,147.2712,85.08,75,60,16.35,broken clouds
28,Srednekolymsk,RU,67.45,153.6833,-48.71,100,71,4.79,broken clouds
29,Lozuvatka,UA,48.0571,33.2858,32.49,100,90,8.99,mist
30,Sorland,NO,67.667,12.6934,24.87,67,88,9.69,overcast clouds
31,Antanifotsy,MG,-19.65,47.3167,59.95,87,66,2.1,broken clouds
32,Kailua,US,21.4022,-157.7394,73.38,55,61,14.83,light rain
33,Thompson,CA,55.7435,-97.8558,-14.08,90,37,7.85,scattered clouds
34,Busselton,AU,-33.65,115.3333,60.04,74,61,15.86,broken clouds
35,North Bend,US,43.4065,-124.2243,55.24,85,1,8.05,clear sky
36,Pokrovsk,UA,48.282,37.1758,33.35,95,100,2.64,overcast clouds
37,Homer,US,59.6425,-151.5483,37.29,78,90,8.05,light rain and snow
38,Mecca,SA,21.4267,39.8261,74.57,73,1,1.77,clear sky
39,Upernavik,GL,72.7868,-56.1549,25.7,72,100,3.94,overcast clouds
40,Viru,PE,-8.4167,-78.75,63.7,70,100,5.32,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,54.48,48,90,4.56,overcast clouds
42,Severo-Kurilsk,RU,50.6789,156.125,31.48,74,94,16.89,overcast clouds
43,Olafsvik,IS,64.8945,-23.7142,41.18,90,100,5.1,overcast clouds
44,Hithadhoo,MV,-0.6,73.0833,81.23,78,100,12.95,overcast clouds
45,Katsuura,JP,35.1333,140.3,47.1,73,100,9.06,overcast clouds
46,New Norfolk,AU,-42.7826,147.0587,62.65,51,51,1.99,broken clouds
47,Waipawa,NZ,-41.4122,175.5153,51.46,97,100,6.64,light rain
48,Vostok,RU,46.4856,135.8833,17.89,93,41,5.93,scattered clouds
49,Zhigansk,RU,66.7697,123.3711,-28.44,94,100,7.45,overcast clouds
50,Calabar,NG,4.9517,8.322,77.49,91,99,3.44,overcast clouds
51,Matamoros,MX,25.5333,-103.25,80.71,18,75,0.0,broken clouds
52,Rikitea,PF,-23.1203,-134.9692,76.33,74,98,8.57,overcast clouds
53,Lambarene,GA,-0.7001,10.2406,76.3,93,100,3.8,moderate rain
54,Ushuaia,AR,-54.8,-68.3,49.66,57,40,28.77,scattered clouds
55,Koslan,RU,63.4564,48.8989,10.54,95,68,6.53,broken clouds
56,Honiara,SB,-9.4333,159.95,83.71,75,88,2.19,overcast clouds
57,Deputatskiy,RU,69.3,139.9,-24.45,97,100,2.75,overcast clouds
58,Nur,PL,52.6683,22.3221,31.78,88,100,6.35,overcast clouds
59,Lebu,CL,-37.6167,-73.65,62.98,69,0,14.52,clear sky
60,Salekhard,RU,66.53,66.6019,-19.1,92,38,9.91,scattered clouds
61,Rotifunk,SL,8.2333,-12.6833,76.69,87,35,2.66,scattered clouds
62,Bilibino,RU,68.0546,166.4372,-19.28,99,100,2.64,overcast clouds
63,Langsa,ID,4.4683,97.9683,72.5,95,100,1.92,overcast clouds
64,Eirunepe,BR,-6.6603,-69.8736,72.5,99,100,1.81,overcast clouds
65,Mahebourg,MU,-20.4081,57.7,78.26,71,12,11.5,few clouds
66,Saskylakh,RU,71.9167,114.0833,-27.94,97,100,4.03,overcast clouds
67,Mount Gambier,AU,-37.8333,140.7667,61.66,48,88,6.11,overcast clouds
68,Jamestown,US,42.097,-79.2353,43.92,49,90,11.99,overcast clouds
69,Pisco,PE,-13.7,-76.2167,69.85,78,75,16.11,broken clouds
70,Nikolskoye,RU,59.7035,30.7861,-0.6,98,8,4.79,clear sky
71,Bredasdorp,ZA,-34.5322,20.0403,60.28,96,100,8.05,light rain
72,Hilo,US,19.7297,-155.09,76.73,88,75,13.8,heavy intensity rain
73,College,US,64.8569,-147.8028,5.29,78,75,4.61,broken clouds
74,Dhidhdhoo,MV,6.8833,73.1,80.92,76,48,8.14,scattered clouds
75,Cidreira,BR,-30.1811,-50.2056,69.89,87,50,14.45,scattered clouds
76,Carnarvon,AU,-24.8667,113.6333,72.84,78,0,20.18,clear sky
77,Bethel,US,41.3712,-73.414,43.0,51,1,4.61,clear sky
78,Acapulco,MX,16.8634,-99.8901,85.82,70,1,8.05,clear sky
79,Cherskiy,RU,68.75,161.3,-47.02,100,85,4.65,overcast clouds
80,Negara,ID,-8.3151,114.6025,76.12,94,100,6.17,moderate rain
81,Meulaboh,ID,4.1363,96.1285,75.79,87,94,4.0,overcast clouds
82,Paita,PE,-5.0892,-81.1144,72.16,79,90,18.52,overcast clouds
83,Honningsvag,NO,70.9821,25.9704,29.95,80,75,21.85,light snow
84,Baykit,RU,61.67,96.37,-6.9,96,100,2.75,overcast clouds
85,Lagos,NG,6.5833,3.75,82.72,84,83,4.52,broken clouds
86,Tecoanapa,MX,16.5167,-98.75,84.56,61,1,8.34,clear sky
87,Kununurra,AU,-15.7667,128.7333,76.98,88,90,4.61,overcast clouds
88,Kaili,ID,-3.4626,120.2147,66.06,89,100,3.18,overcast clouds
89,San Quintin,MX,30.4833,-115.95,64.69,71,0,14.25,clear sky
90,Chokurdakh,RU,70.6333,147.9167,-41.57,99,58,5.95,broken clouds
91,Tortoli,IT,39.9256,9.6572,44.98,88,100,6.64,overcast clouds
92,Hobart,AU,-42.8794,147.3294,63.01,58,40,4.0,scattered clouds
93,East London,ZA,-33.0153,27.9116,69.24,95,100,3.13,overcast clouds
94,Pilar,BR,-9.5972,-35.9567,75.13,88,74,6.49,broken clouds
95,Zaysan,KZ,47.4667,84.8667,18.99,85,96,1.16,overcast clouds
96,Ilulissat,GL,69.2167,-51.1,28.42,86,75,16.11,light snow
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,57,10.0,broken clouds
98,Yerbogachen,RU,61.2767,108.0108,-21.89,100,95,2.51,overcast clouds
99,Camacupa,AO,-12.0167,17.4833,62.69,96,100,2.1,light rain
