City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-12-04 19:54:55,22.0752,-159.319,68.47,80,100,1.01
1,Guerrero Negro,MX,2021-12-04 19:54:56,27.9769,-114.0611,68.0,66,100,17.31
2,New Norfolk,AU,2021-12-04 19:54:56,-42.7826,147.0587,47.75,69,7,2.68
3,Carnarvon,AU,2021-12-04 19:54:56,-24.8667,113.6333,71.67,88,0,5.75
4,Nieuw Amsterdam,SR,2021-12-04 19:54:57,5.8833,-55.0833,87.82,70,40,11.5
5,Arraial Do Cabo,BR,2021-12-04 19:54:57,-22.9661,-42.0278,80.56,61,40,11.5
6,Tasiilaq,GL,2021-12-04 19:54:57,65.6145,-37.6368,26.98,92,100,29.17
7,Auki,SB,2021-12-04 19:54:57,-8.7676,160.7034,80.04,82,33,2.24
8,Punta Arenas,CL,2021-12-04 19:52:42,-53.15,-70.9167,55.51,58,75,19.57
9,Alekseyevka,RU,2021-12-04 19:54:58,50.6309,38.6903,30.99,81,100,3.58
10,San Patricio,US,2021-12-04 19:54:58,28.017,-97.5169,86.02,56,41,12.73
11,Atuona,PF,2021-12-04 19:51:47,-9.8,-139.0333,78.35,74,4,17.49
12,Terrace,CA,2021-12-04 19:54:58,54.5163,-128.6035,35.42,93,40,8.05
13,Kodiak,US,2021-12-04 19:54:59,57.79,-152.4072,24.85,72,97,4.72
14,Busselton,AU,2021-12-04 19:54:59,-33.65,115.3333,57.09,76,0,10.13
15,Opuwo,NA,2021-12-04 19:54:59,-18.0607,13.84,71.87,25,14,7.02
16,Tiarei,PF,2021-12-04 19:54:59,-17.5333,-149.3333,84.22,69,73,12.57
17,Bredasdorp,ZA,2021-12-04 19:55:00,-34.5322,20.0403,65.28,86,100,19.46
18,Camana,PE,2021-12-04 19:55:00,-16.6228,-72.7111,71.53,73,91,7.74
19,Belaya Gora,RU,2021-12-04 19:55:00,68.5333,146.4167,-42.27,100,69,0.51
20,Ushuaia,AR,2021-12-04 19:55:01,-54.8,-68.3,62.26,29,75,11.5
21,Fortuna,US,2021-12-04 19:50:16,40.5982,-124.1573,50.67,100,90,0.0
22,Clydebank,GB,2021-12-04 19:55:01,55.9014,-4.4057,43.47,75,72,8.05
23,Airai,TL,2021-12-04 19:55:01,-8.9266,125.4092,61.16,95,100,1.36
24,Quimper,FR,2021-12-04 19:55:02,48.0,-4.1,47.08,81,20,17.27
25,Port Alfred,ZA,2021-12-04 19:55:02,-33.5906,26.891,67.95,95,100,21.79
26,Nikolskoye,RU,2021-12-04 19:55:02,59.7035,30.7861,15.69,94,100,5.77
27,Acarau,BR,2021-12-04 19:55:02,-2.8856,-40.12,83.43,69,74,16.69
28,Albany,US,2021-12-04 19:54:49,42.6001,-73.9662,43.09,65,100,1.99
29,Qaanaaq,GL,2021-12-04 19:55:03,77.484,-69.3632,0.75,65,68,7.47
30,Saiha,IN,2021-12-04 19:55:03,22.4833,92.9667,67.78,72,100,1.81
31,Rikitea,PF,2021-12-04 19:55:03,-23.1203,-134.9692,75.81,73,18,12.08
32,Mataura,NZ,2021-12-04 19:55:04,-46.1927,168.8643,55.47,97,100,5.35
33,Nouadhibou,MR,2021-12-04 19:55:04,20.931,-17.0347,66.18,72,12,13.8
